Vocab size: 8,192
Target hardware preset: NVIDIA A100-SXM4-80GB x1
MFU baseline FLOPs: 3.120e+14 (device-name:A100)
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 22,020,608
  scalars                 : 14
  total                   : 47,186,446
Estimated FLOPs per token: 1.793096e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011397 | lrm: 0.00 | dt: 14658ms | tok/sec: 8,941 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011443 | lrm: 0.00 | dt: 185ms | tok/sec: 708,592 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011493 | lrm: 0.00 | dt: 166ms | tok/sec: 791,922 | mfu: 45.5% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011518 | lrm: 0.00 | dt: 160ms | tok/sec: 818,885 | mfu: 47.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011563 | lrm: 0.00 | dt: 160ms | tok/sec: 817,217 | mfu: 47.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011536 | lrm: 0.00 | dt: 160ms | tok/sec: 817,947 | mfu: 47.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011520 | lrm: 0.00 | dt: 160ms | tok/sec: 817,472 | mfu: 47.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011537 | lrm: 0.00 | dt: 161ms | tok/sec: 815,508 | mfu: 46.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011534 | lrm: 0.00 | dt: 161ms | tok/sec: 815,091 | mfu: 46.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011525 | lrm: 0.00 | dt: 160ms | tok/sec: 817,676 | mfu: 47.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011518 | lrm: 0.00 | dt: 161ms | tok/sec: 813,773 | mfu: 46.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011519 | lrm: 0.00 | dt: 161ms | tok/sec: 812,763 | mfu: 46.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 9.011509 | lrm: 0.01 | dt: 161ms | tok/sec: 815,068 | mfu: 46.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 9.011044 | lrm: 0.02 | dt: 165ms | tok/sec: 795,716 | mfu: 45.7% | epoch: 1 | remaining: 300s    
step 00014 (0.2%) | loss: 9.009720 | lrm: 0.03 | dt: 164ms | tok/sec: 797,530 | mfu: 45.8% | epoch: 1 | remaining: 299s    
step 00015 (0.2%) | loss: 9.007239 | lrm: 0.04 | dt: 164ms | tok/sec: 799,527 | mfu: 45.9% | epoch: 1 | remaining: 299s    
step 00036 (1.4%) | loss: 7.236301 | lrm: 0.27 | dt: 166ms | tok/sec: 790,896 | mfu: 45.5% | epoch: 1 | remaining: 296s    
step 00037 (1.4%) | loss: 7.129474 | lrm: 0.29 | dt: 166ms | tok/sec: 791,963 | mfu: 45.5% | epoch: 1 | remaining: 296s    
step 00038 (1.5%) | loss: 7.026015 | lrm: 0.30 | dt: 166ms | tok/sec: 791,199 | mfu: 45.5% | epoch: 1 | remaining: 295s    
step 00039 (1.5%) | loss: 6.929031 | lrm: 0.31 | dt: 191ms | tok/sec: 687,054 | mfu: 39.5% | epoch: 1 | remaining: 295s    
step 00040 (1.6%) | loss: 6.836495 | lrm: 0.32 | dt: 165ms | tok/sec: 796,699 | mfu: 45.8% | epoch: 1 | remaining: 295s    
step 00041 (1.7%) | loss: 6.750980 | lrm: 0.33 | dt: 165ms | tok/sec: 793,603 | mfu: 45.6% | epoch: 1 | remaining: 295s    
step 00042 (1.7%) | loss: 6.673004 | lrm: 0.34 | dt: 165ms | tok/sec: 795,259 | mfu: 45.7% | epoch: 1 | remaining: 295s    
step 00043 (1.8%) | loss: 6.593433 | lrm: 0.35 | dt: 164ms | tok/sec: 797,421 | mfu: 45.8% | epoch: 1 | remaining: 295s    
step 00044 (1.8%) | loss: 6.521954 | lrm: 0.36 | dt: 166ms | tok/sec: 791,199 | mfu: 45.5% | epoch: 1 | remaining: 294s    
step 00045 (1.9%) | loss: 6.455764 | lrm: 0.38 | dt: 174ms | tok/sec: 754,413 | mfu: 43.4% | epoch: 1 | remaining: 294s    
step 00046 (1.9%) | loss: 6.394220 | lrm: 0.39 | dt: 164ms | tok/sec: 797,165 | mfu: 45.8% | epoch: 1 | remaining: 294s    
step 00047 (2.0%) | loss: 6.331661 | lrm: 0.40 | dt: 165ms | tok/sec: 795,764 | mfu: 45.7% | epoch: 1 | remaining: 294s    
step 00048 (2.0%) | loss: 6.273580 | lrm: 0.41 | dt: 196ms | tok/sec: 668,237 | mfu: 38.4% | epoch: 1 | remaining: 294s    
step 00049 (2.1%) | loss: 6.218616 | lrm: 0.42 | dt: 175ms | tok/sec: 751,075 | mfu: 43.2% | epoch: 1 | remaining: 294s    
step 00050 (2.2%) | loss: 6.166931 | lrm: 0.43 | dt: 174ms | tok/sec: 754,483 | mfu: 43.4% | epoch: 1 | remaining: 293s    
step 00051 (2.2%) | loss: 6.115426 | lrm: 0.44 | dt: 164ms | tok/sec: 797,899 | mfu: 45.9% | epoch: 1 | remaining: 293s    
step 00052 (2.3%) | loss: 6.065924 | lrm: 0.46 | dt: 165ms | tok/sec: 794,165 | mfu: 45.6% | epoch: 1 | remaining: 293s    
step 00053 (2.3%) | loss: 6.021531 | lrm: 0.47 | dt: 166ms | tok/sec: 791,156 | mfu: 45.5% | epoch: 1 | remaining: 293s    
step 00054 (2.4%) | loss: 5.976977 | lrm: 0.48 | dt: 177ms | tok/sec: 741,096 | mfu: 42.6% | epoch: 1 | remaining: 293s    
step 00055 (2.4%) | loss: 5.934912 | lrm: 0.49 | dt: 165ms | tok/sec: 794,339 | mfu: 45.7% | epoch: 1 | remaining: 292s    
step 00056 (2.5%) | loss: 5.898024 | lrm: 0.50 | dt: 200ms | tok/sec: 656,991 | mfu: 37.8% | epoch: 1 | remaining: 292s    
step 00057 (2.6%) | loss: 5.863303 | lrm: 0.51 | dt: 165ms | tok/sec: 796,182 | mfu: 45.8% | epoch: 1 | remaining: 292s    
step 00058 (2.6%) | loss: 5.831325 | lrm: 0.52 | dt: 165ms | tok/sec: 793,676 | mfu: 45.6% | epoch: 1 | remaining: 292s    
step 00059 (2.7%) | loss: 5.796226 | lrm: 0.54 | dt: 165ms | tok/sec: 793,795 | mfu: 45.6% | epoch: 1 | remaining: 292s    
step 00060 (2.7%) | loss: 5.763431 | lrm: 0.55 | dt: 176ms | tok/sec: 746,401 | mfu: 42.9% | epoch: 1 | remaining: 292s    
step 00061 (2.8%) | loss: 5.727733 | lrm: 0.56 | dt: 165ms | tok/sec: 794,946 | mfu: 45.7% | epoch: 1 | remaining: 291s    
step 00062 (2.8%) | loss: 5.696838 | lrm: 0.57 | dt: 165ms | tok/sec: 794,180 | mfu: 45.6% | epoch: 1 | remaining: 291s    
step 00063 (2.9%) | loss: 5.668359 | lrm: 0.58 | dt: 165ms | tok/sec: 792,876 | mfu: 45.6% | epoch: 1 | remaining: 291s    
step 00064 (3.0%) | loss: 5.641360 | lrm: 0.59 | dt: 165ms | tok/sec: 792,173 | mfu: 45.5% | epoch: 1 | remaining: 291s    
step 00065 (3.0%) | loss: 5.612622 | lrm: 0.60 | dt: 165ms | tok/sec: 793,130 | mfu: 45.6% | epoch: 1 | remaining: 291s    
step 00066 (3.1%) | loss: 5.586258 | lrm: 0.61 | dt: 166ms | tok/sec: 788,026 | mfu: 45.3% | epoch: 1 | remaining: 291s    
step 00067 (3.1%) | loss: 5.560927 | lrm: 0.62 | dt: 165ms | tok/sec: 795,049 | mfu: 45.7% | epoch: 1 | remaining: 290s    
step 00068 (3.2%) | loss: 5.535903 | lrm: 0.64 | dt: 164ms | tok/sec: 797,752 | mfu: 45.8% | epoch: 1 | remaining: 290s    
step 00069 (3.2%) | loss: 5.509148 | lrm: 0.65 | dt: 165ms | tok/sec: 792,956 | mfu: 45.6% | epoch: 1 | remaining: 290s    
step 00070 (3.3%) | loss: 5.484855 | lrm: 0.66 | dt: 166ms | tok/sec: 789,867 | mfu: 45.4% | epoch: 1 | remaining: 290s    
step 00071 (3.3%) | loss: 5.458914 | lrm: 0.67 | dt: 166ms | tok/sec: 789,898 | mfu: 45.4% | epoch: 1 | remaining: 290s    
step 00072 (3.4%) | loss: 5.435429 | lrm: 0.68 | dt: 166ms | tok/sec: 790,259 | mfu: 45.4% | epoch: 1 | remaining: 290s    
step 00073 (3.5%) | loss: 5.409288 | lrm: 0.69 | dt: 165ms | tok/sec: 795,067 | mfu: 45.7% | epoch: 1 | remaining: 289s    
step 00074 (3.5%) | loss: 5.386978 | lrm: 0.70 | dt: 165ms | tok/sec: 794,313 | mfu: 45.7% | epoch: 1 | remaining: 289s    
step 00075 (3.6%) | loss: 5.363436 | lrm: 0.71 | dt: 166ms | tok/sec: 791,613 | mfu: 45.5% | epoch: 1 | remaining: 289s    
step 00076 (3.6%) | loss: 5.340205 | lrm: 0.72 | dt: 182ms | tok/sec: 720,268 | mfu: 41.4% | epoch: 1 | remaining: 289s    
step 00077 (3.7%) | loss: 5.315166 | lrm: 0.74 | dt: 165ms | tok/sec: 794,512 | mfu: 45.7% | epoch: 1 | remaining: 289s    
step 00078 (3.7%) | loss: 5.290320 | lrm: 0.75 | dt: 166ms | tok/sec: 791,350 | mfu: 45.5% | epoch: 1 | remaining: 289s    
step 00079 (3.8%) | loss: 5.267553 | lrm: 0.76 | dt: 165ms | tok/sec: 795,639 | mfu: 45.7% | epoch: 1 | remaining: 288s    
step 00080 (3.8%) | loss: 5.247157 | lrm: 0.77 | dt: 173ms | tok/sec: 758,435 | mfu: 43.6% | epoch: 1 | remaining: 288s    
step 00081 (3.9%) | loss: 5.228374 | lrm: 0.78 | dt: 195ms | tok/sec: 672,681 | mfu: 38.7% | epoch: 1 | remaining: 288s    
step 00082 (4.0%) | loss: 5.205987 | lrm: 0.79 | dt: 165ms | tok/sec: 794,695 | mfu: 45.7% | epoch: 1 | remaining: 288s    
step 00083 (4.0%) | loss: 5.183951 | lrm: 0.80 | dt: 166ms | tok/sec: 789,675 | mfu: 45.4% | epoch: 1 | remaining: 288s    
step 00084 (4.1%) | loss: 5.164120 | lrm: 0.82 | dt: 165ms | tok/sec: 793,019 | mfu: 45.6% | epoch: 1 | remaining: 288s    
step 00085 (4.1%) | loss: 5.146247 | lrm: 0.83 | dt: 165ms | tok/sec: 793,107 | mfu: 45.6% | epoch: 1 | remaining: 287s    
step 00086 (4.2%) | loss: 5.124418 | lrm: 0.84 | dt: 165ms | tok/sec: 792,579 | mfu: 45.6% | epoch: 1 | remaining: 287s    
step 00087 (4.2%) | loss: 5.100434 | lrm: 0.85 | dt: 166ms | tok/sec: 789,673 | mfu: 45.4% | epoch: 1 | remaining: 287s    
step 00088 (4.3%) | loss: 5.080447 | lrm: 0.86 | dt: 166ms | tok/sec: 788,060 | mfu: 45.3% | epoch: 1 | remaining: 287s    
step 00089 (4.4%) | loss: 5.059949 | lrm: 0.87 | dt: 166ms | tok/sec: 788,114 | mfu: 45.3% | epoch: 1 | remaining: 287s    
step 00090 (4.4%) | loss: 5.040740 | lrm: 0.88 | dt: 166ms | tok/sec: 787,251 | mfu: 45.2% | epoch: 1 | remaining: 287s    
step 00091 (4.5%) | loss: 5.025385 | lrm: 0.89 | dt: 166ms | tok/sec: 790,993 | mfu: 45.5% | epoch: 1 | remaining: 286s    
step 00092 (4.5%) | loss: 5.004907 | lrm: 0.90 | dt: 166ms | tok/sec: 788,147 | mfu: 45.3% | epoch: 1 | remaining: 286s    
step 00093 (4.6%) | loss: 4.984746 | lrm: 0.92 | dt: 165ms | tok/sec: 792,954 | mfu: 45.6% | epoch: 1 | remaining: 286s    
step 00094 (4.6%) | loss: 4.964736 | lrm: 0.93 | dt: 165ms | tok/sec: 794,839 | mfu: 45.7% | epoch: 1 | remaining: 286s    
step 00095 (4.7%) | loss: 4.941368 | lrm: 0.94 | dt: 165ms | tok/sec: 795,207 | mfu: 45.7% | epoch: 1 | remaining: 286s    
step 00096 (4.7%) | loss: 4.922020 | lrm: 0.95 | dt: 166ms | tok/sec: 791,849 | mfu: 45.5% | epoch: 1 | remaining: 286s    
step 00097 (4.8%) | loss: 4.900930 | lrm: 0.96 | dt: 166ms | tok/sec: 787,676 | mfu: 45.3% | epoch: 1 | remaining: 285s    
step 00098 (4.9%) | loss: 4.876488 | lrm: 0.97 | dt: 166ms | tok/sec: 790,548 | mfu: 45.4% | epoch: 1 | remaining: 285s    
step 00099 (4.9%) | loss: 4.856110 | lrm: 0.98 | dt: 165ms | tok/sec: 795,867 | mfu: 45.7% | epoch: 1 | remaining: 285s    
step 00100 (5.0%) | loss: 4.842515 | lrm: 0.99 | dt: 165ms | tok/sec: 794,671 | mfu: 45.7% | epoch: 1 | remaining: 285s    
step 00101 (5.0%) | loss: 4.824916 | lrm: 1.00 | dt: 214ms | tok/sec: 613,294 | mfu: 35.2% | epoch: 1 | remaining: 285s    
step 00102 (5.1%) | loss: 4.807376 | lrm: 1.00 | dt: 165ms | tok/sec: 795,851 | mfu: 45.7% | epoch: 1 | remaining: 285s    
step 00103 (5.1%) | loss: 4.785213 | lrm: 1.00 | dt: 181ms | tok/sec: 725,643 | mfu: 41.7% | epoch: 1 | remaining: 284s    
step 00104 (5.2%) | loss: 4.768093 | lrm: 1.00 | dt: 164ms | tok/sec: 798,124 | mfu: 45.9% | epoch: 1 | remaining: 284s    
step 00105 (5.3%) | loss: 4.748507 | lrm: 1.00 | dt: 165ms | tok/sec: 795,663 | mfu: 45.7% | epoch: 1 | remaining: 284s    
step 00106 (5.3%) | loss: 4.730433 | lrm: 1.00 | dt: 166ms | tok/sec: 790,979 | mfu: 45.5% | epoch: 1 | remaining: 284s    
step 00107 (5.4%) | loss: 4.711451 | lrm: 1.00 | dt: 166ms | tok/sec: 787,922 | mfu: 45.3% | epoch: 1 | remaining: 284s    
step 00108 (5.4%) | loss: 4.690816 | lrm: 1.00 | dt: 165ms | tok/sec: 793,654 | mfu: 45.6% | epoch: 1 | remaining: 284s    
step 00109 (5.5%) | loss: 4.670042 | lrm: 1.00 | dt: 165ms | tok/sec: 792,620 | mfu: 45.6% | epoch: 1 | remaining: 283s    
step 00110 (5.5%) | loss: 4.652677 | lrm: 1.00 | dt: 165ms | tok/sec: 794,726 | mfu: 45.7% | epoch: 1 | remaining: 283s    
step 00111 (5.6%) | loss: 4.639024 | lrm: 1.00 | dt: 166ms | tok/sec: 789,799 | mfu: 45.4% | epoch: 1 | remaining: 283s    
step 00112 (5.6%) | loss: 4.623233 | lrm: 1.00 | dt: 166ms | tok/sec: 788,913 | mfu: 45.3% | epoch: 1 | remaining: 283s    
step 00113 (5.7%) | loss: 4.608826 | lrm: 1.00 | dt: 165ms | tok/sec: 793,262 | mfu: 45.6% | epoch: 1 | remaining: 283s    
step 00114 (5.8%) | loss: 4.592455 | lrm: 1.00 | dt: 165ms | tok/sec: 792,438 | mfu: 45.5% | epoch: 1 | remaining: 283s    
step 00115 (5.8%) | loss: 4.576741 | lrm: 1.00 | dt: 166ms | tok/sec: 790,850 | mfu: 45.5% | epoch: 1 | remaining: 282s    
step 00116 (5.9%) | loss: 4.562409 | lrm: 1.00 | dt: 166ms | tok/sec: 788,234 | mfu: 45.3% | epoch: 1 | remaining: 282s    
step 00117 (5.9%) | loss: 4.542448 | lrm: 1.00 | dt: 188ms | tok/sec: 695,447 | mfu: 40.0% | epoch: 1 | remaining: 282s    
step 00118 (6.0%) | loss: 4.525476 | lrm: 1.00 | dt: 173ms | tok/sec: 759,187 | mfu: 43.6% | epoch: 1 | remaining: 282s    
step 00119 (6.0%) | loss: 4.509380 | lrm: 1.00 | dt: 165ms | tok/sec: 794,067 | mfu: 45.6% | epoch: 1 | remaining: 282s    
step 00120 (6.1%) | loss: 4.497784 | lrm: 1.00 | dt: 166ms | tok/sec: 787,533 | mfu: 45.3% | epoch: 1 | remaining: 282s    
step 00121 (6.2%) | loss: 4.481030 | lrm: 1.00 | dt: 165ms | tok/sec: 792,122 | mfu: 45.5% | epoch: 1 | remaining: 281s    
step 00122 (6.2%) | loss: 4.465167 | lrm: 1.00 | dt: 165ms | tok/sec: 793,178 | mfu: 45.6% | epoch: 1 | remaining: 281s    
step 00123 (6.3%) | loss: 4.446554 | lrm: 1.00 | dt: 166ms | tok/sec: 790,457 | mfu: 45.4% | epoch: 1 | remaining: 281s    
step 00124 (6.3%) | loss: 4.431633 | lrm: 1.00 | dt: 166ms | tok/sec: 791,266 | mfu: 45.5% | epoch: 1 | remaining: 281s    
step 00125 (6.4%) | loss: 4.415583 | lrm: 1.00 | dt: 165ms | tok/sec: 792,301 | mfu: 45.5% | epoch: 1 | remaining: 281s    
step 00126 (6.4%) | loss: 4.396928 | lrm: 1.00 | dt: 166ms | tok/sec: 789,207 | mfu: 45.4% | epoch: 1 | remaining: 281s    
step 00127 (6.5%) | loss: 4.384649 | lrm: 1.00 | dt: 165ms | tok/sec: 794,005 | mfu: 45.6% | epoch: 1 | remaining: 280s    
step 00128 (6.5%) | loss: 4.373110 | lrm: 1.00 | dt: 166ms | tok/sec: 791,834 | mfu: 45.5% | epoch: 1 | remaining: 280s    
step 00129 (6.6%) | loss: 4.354629 | lrm: 1.00 | dt: 166ms | tok/sec: 791,320 | mfu: 45.5% | epoch: 1 | remaining: 280s    
step 00130 (6.6%) | loss: 4.340408 | lrm: 1.00 | dt: 166ms | tok/sec: 788,101 | mfu: 45.3% | epoch: 1 | remaining: 280s    
step 00131 (6.7%) | loss: 4.321613 | lrm: 1.00 | dt: 166ms | tok/sec: 790,949 | mfu: 45.5% | epoch: 1 | remaining: 280s    
step 00132 (6.8%) | loss: 4.311140 | lrm: 1.00 | dt: 165ms | tok/sec: 794,137 | mfu: 45.6% | epoch: 1 | remaining: 280s    
step 00133 (6.8%) | loss: 4.299720 | lrm: 1.00 | dt: 166ms | tok/sec: 791,809 | mfu: 45.5% | epoch: 1 | remaining: 279s    
step 00134 (6.9%) | loss: 4.282703 | lrm: 1.00 | dt: 166ms | tok/sec: 791,921 | mfu: 45.5% | epoch: 1 | remaining: 279s    
step 00135 (6.9%) | loss: 4.276000 | lrm: 1.00 | dt: 166ms | tok/sec: 788,000 | mfu: 45.3% | epoch: 1 | remaining: 279s    
step 00136 (7.0%) | loss: 4.260982 | lrm: 1.00 | dt: 166ms | tok/sec: 791,426 | mfu: 45.5% | epoch: 1 | remaining: 279s    
step 00137 (7.0%) | loss: 4.246101 | lrm: 1.00 | dt: 165ms | tok/sec: 794,235 | mfu: 45.6% | epoch: 1 | remaining: 279s    
step 00138 (7.1%) | loss: 4.226882 | lrm: 1.00 | dt: 165ms | tok/sec: 793,340 | mfu: 45.6% | epoch: 1 | remaining: 279s    
step 00139 (7.1%) | loss: 4.213521 | lrm: 1.00 | dt: 165ms | tok/sec: 792,129 | mfu: 45.5% | epoch: 1 | remaining: 278s    
step 00140 (7.2%) | loss: 4.196384 | lrm: 1.00 | dt: 166ms | tok/sec: 789,472 | mfu: 45.4% | epoch: 1 | remaining: 278s    
step 00141 (7.3%) | loss: 4.182948 | lrm: 1.00 | dt: 165ms | tok/sec: 793,005 | mfu: 45.6% | epoch: 1 | remaining: 278s    
step 00142 (7.3%) | loss: 4.171935 | lrm: 1.00 | dt: 165ms | tok/sec: 792,992 | mfu: 45.6% | epoch: 1 | remaining: 278s    
step 00143 (7.4%) | loss: 4.161433 | lrm: 1.00 | dt: 166ms | tok/sec: 791,900 | mfu: 45.5% | epoch: 1 | remaining: 278s    
step 00144 (7.4%) | loss: 4.150943 | lrm: 1.00 | dt: 166ms | tok/sec: 788,943 | mfu: 45.3% | epoch: 1 | remaining: 278s    
step 00145 (7.5%) | loss: 4.141906 | lrm: 1.00 | dt: 182ms | tok/sec: 718,820 | mfu: 41.3% | epoch: 1 | remaining: 277s    
step 00146 (7.5%) | loss: 4.133928 | lrm: 1.00 | dt: 165ms | tok/sec: 793,206 | mfu: 45.6% | epoch: 1 | remaining: 277s    
step 00147 (7.6%) | loss: 4.118738 | lrm: 1.00 | dt: 166ms | tok/sec: 789,139 | mfu: 45.4% | epoch: 1 | remaining: 277s    
step 00148 (7.6%) | loss: 4.112442 | lrm: 1.00 | dt: 166ms | tok/sec: 791,524 | mfu: 45.5% | epoch: 1 | remaining: 277s    
step 00149 (7.7%) | loss: 4.101965 | lrm: 1.00 | dt: 165ms | tok/sec: 792,669 | mfu: 45.6% | epoch: 1 | remaining: 277s    
step 00150 (7.8%) | loss: 4.091517 | lrm: 1.00 | dt: 165ms | tok/sec: 792,871 | mfu: 45.6% | epoch: 1 | remaining: 277s    
step 00151 (7.8%) | loss: 4.081629 | lrm: 1.00 | dt: 166ms | tok/sec: 788,499 | mfu: 45.3% | epoch: 1 | remaining: 276s    
step 00152 (7.9%) | loss: 4.070170 | lrm: 1.00 | dt: 166ms | tok/sec: 787,835 | mfu: 45.3% | epoch: 1 | remaining: 276s    
